"","X1.t","X1.method","X1.order","X1.qD","X1.qD.LCL","X1.qD.UCL","X1.SC","X1.SC.LCL","X1.SC.UCL","X2.t","X2.method","X2.order","X2.qD","X2.qD.LCL","X2.qD.UCL","X2.SC","X2.SC.LCL","X2.SC.UCL","X3.t","X3.method","X3.order","X3.qD","X3.qD.LCL","X3.qD.UCL","X3.SC","X3.SC.LCL","X3.SC.UCL"
"1",1,"interpolated",0,0.438,0.408,0.469,0.031,0.024,0.038,1,"interpolated",0,0.222,0.194,0.251,0.009,0.006,0.011,1,"interpolated",0,0.416,0.377,0.455,0.019,0.015,0.022
"2",92,"interpolated",0,23.052,21.578,24.525,0.603,0.572,0.634,65,"interpolated",0,11.388,10.079,12.696,0.375,0.314,0.435,69,"interpolated",0,18.329,16.92,19.739,0.568,0.533,0.603
"3",184,"interpolated",0,36.123,33.729,38.517,0.734,0.709,0.758,130,"interpolated",0,19.077,16.9,21.254,0.544,0.484,0.605,137,"interpolated",0,28.269,26.151,30.387,0.71,0.682,0.739
"4",276,"interpolated",0,45.402,42.274,48.531,0.801,0.779,0.823,195,"interpolated",0,24.938,22.048,27.829,0.638,0.582,0.693,205,"interpolated",0,35.418,32.777,38.059,0.779,0.755,0.803
"5",368,"interpolated",0,52.545,48.794,56.295,0.842,0.823,0.862,260,"interpolated",0,29.722,26.201,33.243,0.697,0.647,0.747,273,"interpolated",0,41.065,37.987,44.144,0.82,0.798,0.841
"6",460,"interpolated",0,58.323,54.027,62.619,0.87,0.852,0.887,325,"interpolated",0,33.787,29.693,37.88,0.739,0.692,0.785,341,"interpolated",0,45.751,42.29,49.211,0.848,0.829,0.867
"7",552,"interpolated",0,63.17,58.389,67.951,0.889,0.873,0.905,390,"interpolated",0,37.332,32.711,41.952,0.77,0.727,0.813,409,"interpolated",0,49.75,45.952,53.548,0.869,0.851,0.887
"8",644,"interpolated",0,67.348,62.135,72.561,0.903,0.889,0.918,455,"interpolated",0,40.48,35.37,45.59,0.794,0.754,0.834,477,"interpolated",0,53.225,49.126,57.323,0.885,0.869,0.902
"9",736,"interpolated",0,71.027,65.43,76.625,0.914,0.901,0.927,520,"interpolated",0,43.313,37.744,48.882,0.814,0.775,0.852,545,"interpolated",0,56.278,51.913,60.644,0.899,0.883,0.914
"10",828,"interpolated",0,74.322,68.381,80.263,0.922,0.91,0.935,585,"interpolated",0,45.887,39.885,51.889,0.83,0.793,0.867,614,"interpolated",0,59.022,54.417,63.628,0.91,0.896,0.924
"11",919,"interpolated",0,77.281,71.037,83.525,0.929,0.917,0.941,649,"interpolated",0,48.208,41.802,54.615,0.844,0.807,0.88,682,"interpolated",0,61.432,56.618,66.247,0.92,0.906,0.933
"12",1011,"interpolated",0,80.027,73.506,86.548,0.935,0.923,0.946,714,"interpolated",0,50.38,43.581,57.18,0.856,0.82,0.891,750,"interpolated",0,63.593,58.594,68.593,0.928,0.915,0.94
"13",1103,"interpolated",0,82.569,75.797,89.341,0.939,0.928,0.95,779,"interpolated",0,52.39,45.214,59.567,0.866,0.831,0.901,818,"interpolated",0,65.539,60.376,70.703,0.935,0.923,0.947
"14",1195,"interpolated",0,84.94,77.936,91.945,0.943,0.932,0.954,844,"interpolated",0,54.258,46.718,61.798,0.875,0.84,0.91,886,"interpolated",0,67.298,61.988,72.608,0.941,0.929,0.952
"15",1287,"interpolated",0,87.167,79.945,94.389,0.946,0.935,0.957,909,"interpolated",0,56,48.108,63.892,0.883,0.848,0.919,954,"interpolated",0,68.893,63.45,74.335,0.946,0.935,0.958
"16",1379,"interpolated",0,89.269,81.838,96.701,0.949,0.938,0.96,974,"interpolated",0,57.631,49.397,65.865,0.891,0.855,0.926,1022,"interpolated",0,70.342,64.778,75.906,0.951,0.94,0.962
"17",1471,"interpolated",0,91.264,83.628,98.9,0.952,0.94,0.963,1039,"interpolated",0,59.164,50.595,67.733,0.897,0.861,0.933,1090,"interpolated",0,71.662,65.984,77.34,0.955,0.945,0.966
"18",1563,"interpolated",0,93.164,85.324,101.004,0.954,0.942,0.966,1104,"interpolated",0,60.61,51.713,69.508,0.903,0.867,0.939,1158,"interpolated",0,72.867,67.078,78.656,0.959,0.948,0.97
"19",1655,"interpolated",0,94.981,86.932,103.03,0.956,0.944,0.968,1169,"interpolated",0,61.979,52.757,71.202,0.908,0.871,0.944,1227,"interpolated",0,73.985,68.084,79.886,0.963,0.952,0.974
"20",1656,"observed",0,95,86.949,103.051,0.956,0.944,0.968,1170,"observed",0,62,52.773,71.227,0.908,0.871,0.944,1228,"observed",0,74,68.097,79.903,0.963,0.952,0.974
"21",1657,"extrapolated",0,95.019,86.966,103.073,0.956,0.944,0.968,1171,"extrapolated",0,62.02,52.788,71.253,0.908,0.871,0.945,1229,"extrapolated",0,74.015,68.111,79.92,0.963,0.952,0.974
"22",1744,"extrapolated",0,96.667,88.408,104.926,0.958,0.945,0.97,1232,"extrapolated",0,63.241,53.706,72.776,0.912,0.875,0.949,1293,"extrapolated",0,74.964,68.952,80.977,0.966,0.954,0.978
"23",1831,"extrapolated",0,98.25,89.776,106.724,0.959,0.946,0.972,1294,"extrapolated",0,64.423,54.581,74.265,0.916,0.879,0.954,1358,"extrapolated",0,75.851,69.722,81.98,0.969,0.957,0.981
"24",1918,"extrapolated",0,99.773,91.072,108.473,0.961,0.948,0.974,1355,"extrapolated",0,65.531,55.385,75.677,0.92,0.882,0.958,1422,"extrapolated",0,76.655,70.403,82.907,0.971,0.959,0.983
"25",2005,"extrapolated",0,101.236,92.296,110.176,0.962,0.949,0.976,1417,"extrapolated",0,66.605,56.147,77.062,0.924,0.886,0.962,1487,"extrapolated",0,77.406,71.02,83.792,0.973,0.961,0.986
"26",2092,"extrapolated",0,102.643,93.45,111.836,0.964,0.95,0.978,1478,"extrapolated",0,67.611,56.844,78.378,0.928,0.889,0.966,1551,"extrapolated",0,78.087,71.56,84.614,0.975,0.963,0.988
"27",2179,"extrapolated",0,103.996,94.536,113.456,0.965,0.951,0.979,1540,"extrapolated",0,68.586,57.5,79.672,0.931,0.892,0.97,1616,"extrapolated",0,78.723,72.043,85.404,0.977,0.965,0.99
"28",2266,"extrapolated",0,105.296,95.555,115.038,0.967,0.952,0.981,1601,"extrapolated",0,69.5,58.097,80.903,0.934,0.896,0.973,1681,"extrapolated",0,79.309,72.466,86.152,0.979,0.967,0.992
"29",2353,"extrapolated",0,106.547,96.511,116.583,0.968,0.954,0.982,1663,"extrapolated",0,70.385,58.656,82.114,0.937,0.899,0.976,1745,"extrapolated",0,79.839,72.828,86.851,0.981,0.968,0.993
"30",2440,"extrapolated",0,107.748,97.405,118.092,0.969,0.955,0.983,1724,"extrapolated",0,71.215,59.161,83.268,0.94,0.902,0.979,1810,"extrapolated",0,80.335,73.145,87.525,0.982,0.97,0.995
"31",2528,"extrapolated",0,108.917,98.249,119.584,0.97,0.956,0.985,1786,"extrapolated",0,72.018,59.633,84.404,0.943,0.905,0.981,1874,"extrapolated",0,80.785,73.413,88.156,0.984,0.972,0.996
"32",2615,"extrapolated",0,110.027,99.028,121.025,0.971,0.957,0.986,1847,"extrapolated",0,72.772,60.056,85.488,0.946,0.908,0.984,1939,"extrapolated",0,81.205,73.643,88.767,0.985,0.973,0.997
"33",2702,"extrapolated",0,111.094,99.755,122.434,0.973,0.958,0.987,1909,"extrapolated",0,73.502,60.449,86.555,0.948,0.911,0.986,2003,"extrapolated",0,81.586,73.833,89.339,0.986,0.974,0.998
"34",2789,"extrapolated",0,112.12,100.431,123.81,0.974,0.959,0.988,1970,"extrapolated",0,74.186,60.8,87.573,0.951,0.914,0.988,2068,"extrapolated",0,81.941,73.991,89.892,0.987,0.976,0.999
"35",2876,"extrapolated",0,113.107,101.059,125.154,0.975,0.96,0.989,2032,"extrapolated",0,74.849,61.122,88.576,0.953,0.916,0.99,2133,"extrapolated",0,82.269,74.12,90.418,0.988,0.977,1
"36",2963,"extrapolated",0,114.055,101.643,126.467,0.976,0.961,0.99,2093,"extrapolated",0,75.471,61.409,89.533,0.955,0.919,0.992,2197,"extrapolated",0,82.565,74.219,90.912,0.989,0.978,1
"37",3050,"extrapolated",0,114.967,102.185,127.748,0.977,0.962,0.991,2155,"extrapolated",0,76.072,61.67,90.475,0.957,0.922,0.993,2262,"extrapolated",0,82.843,74.296,91.389,0.99,0.979,1
"38",3137,"extrapolated",0,115.843,102.688,128.998,0.977,0.963,0.991,2216,"extrapolated",0,76.637,61.899,91.374,0.959,0.924,0.995,2326,"extrapolated",0,83.094,74.351,91.837,0.991,0.98,1
